"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","Cluster","SINGLESCORE","CONTENT_MASTERYE","PROGRESSE","CLOSING_GAPE","READINESSE","CCRPISCOREE","CONTENT_MASTERYM","PROGRESSM","CLOSING_GAPM","READINESSM","CCRPISCOREM","CONTENT_MASTERYH","PROGRESSH","CLOSING_GAPH","READINESSH","GRADUATION_RATEH","CCRPISCOREH"
"2021","SCHOOL","6365050","Central Savannah River RESA","636","Columbia County","Grovetown Elementary School","5050","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6365050","Central Savannah River RESA","636","Columbia County","Grovetown Elementary School","5050","E","","59.6","100.00+","","72","","","","","","","","","","","",""
"2023","SCHOOL","6365050","Central Savannah River RESA","636","Columbia County","Grovetown Elementary School","5050","E","83.7","66.7","91.9","100","82.5","83.7","","","","","","","","","","",""
"2024","SCHOOL","6365050","Central Savannah River RESA","636","Columbia County","Grovetown Elementary School","5050","E","68.9","62.7","89.7","13.3","83.3","68.9","","","","","","","","","","",""
"2025","SCHOOL","6365050","Central Savannah River RESA","636","Columbia County","Grovetown Elementary School","5050","E","83.8","70.3","95.2","84.1","83.7","83.8","","","","","","","","","","",""
"2018","SCHOOL","6365052","Central Savannah River RESA","636","Columbia County","South Columbia Elementary School","5052","E","80.4","67.9","93.8","72.7","81.7","80.4","","","","","","","","","","",""
"2019","SCHOOL","6365052","Central Savannah River RESA","636","Columbia County","South Columbia Elementary School","5052","E","81.8","69.8","97.3","67.5","83.2","81.8","","","","","","","","","","",""
"2020","SCHOOL","6365052","Central Savannah River RESA","636","Columbia County","South Columbia Elementary School","5052","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6365052","Central Savannah River RESA","636","Columbia County","South Columbia Elementary School","5052","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6365052","Central Savannah River RESA","636","Columbia County","South Columbia Elementary School","5052","E","","74.5","100.00+","","75.9","","","","","","","","","","","",""
"2023","SCHOOL","6365052","Central Savannah River RESA","636","Columbia County","South Columbia Elementary School","5052","E","88.9","78.4","95.4","100","85","88.9","","","","","","","","","","",""
"2024","SCHOOL","6365052","Central Savannah River RESA","636","Columbia County","South Columbia Elementary School","5052","E","86.1","77.2","95.6","83.3","84.5","86.1","","","","","","","","","","",""
"2018","DISTRICT","637","Coastal Plains RESA","637","Cook County","Cook County","637","EMH","72.6","48","74.2","44.6","74","61.9","55.9","92.1","42.3","79.1","71.2","54.7","76.9","44.2","67.1","88.7","67.3"
"2019","DISTRICT","637","Coastal Plains RESA","637","Cook County","Cook County","637","EMH","72.6","51.7","74.3","86.7","75.3","69.6","61.7","90","91.1","80.8","79.8","59.9","73.2","72.2","73.5","89.1","71.5"
"2020","DISTRICT","637","Coastal Plains RESA","637","Cook County","Cook County","637","EMH","","","","","","","","","","","","","","","","",""
"2021","DISTRICT","637","Coastal Plains RESA","637","Cook County","Cook County","637","EMH","","","","","","","","","","","","","","","","",""
"2022","DISTRICT","637","Coastal Plains RESA","637","Cook County","Cook County","637","EMH","","50.5","100.00+","","66.8","","52.8","60.3","","69.9","","65.2","45.5","","73.4","96.9",""
"2023","DISTRICT","637","Coastal Plains RESA","637","Cook County","Cook County","637","EMH","75.0","53.1","73.2","86.4","79.2","70.3","56.3","86.2","65","79.6","72.8","68.2","96.7","79.2","77.9","98.5","83.9"
"2024","DISTRICT","637","Coastal Plains RESA","637","Cook County","Cook County","637","EMH","79.1","60.2","77.8","100","83.2","76.9","63.5","87.3","92.5","79.6","79.5","69.7","91.4","66.7","79.7","98.9","81.8"
"2025","DISTRICT","637","Coastal Plains RESA","637","Cook County","Cook County","637","EMH","65.0","58.5","69.4","40.9","85.3","70.5","64.3","94","64.3","83.6","70.5","67.5","76.2","26","79.9","98.8","70.5"
"2018","SCHOOL","6370101","Coastal Plains RESA","637","Cook County","Cook County Middle School","0101","M","71.2","","","","","","55.9","92.1","42.3","79.1","71.2","","","","","",""
"2019","SCHOOL","6370101","Coastal Plains RESA","637","Cook County","Cook Middle School","0101","M","79.8","","","","","","61.7","90","91.1","80.8","79.8","","","","","",""
"2020","SCHOOL","6370101","Coastal Plains RESA","637","Cook County","Cook County Middle School","0101","M","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6370101","Coastal Plains RESA","637","Cook County","Cook County Middle School","0101","M","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6370101","Coastal Plains RESA","637","Cook County","Cook County Middle School","0101","M","","","","","","","52.8","60.3","","69.9","","","","","","",""
"2023","SCHOOL","6370101","Coastal Plains RESA","637","Cook County","Cook County Middle School","0101","M","72.8","","","","","","56.3","86.2","65","79.6","72.8","","","","","",""
"2024","SCHOOL","6370101","Coastal Plains RESA","637","Cook County","Cook County Middle School","0101","M","79.5","","","","","","63.5","87.3","92.5","79.6","79.5","","","","","",""
"2025","SCHOOL","6370101","Coastal Plains RESA","637","Cook County","Cook County Middle School","0101","M","78.6","","","","","","64.3","94","64.3","83.6","78.6","","","","","",""
"2018","SCHOOL","6370104","Coastal Plains RESA","637","Cook County","Cook Elementary School","0104","E","62.0","48","74.2","44.6","74.8","62.0","","","","","","","","","","",""
"2019","SCHOOL","6370104","Coastal Plains RESA","637","Cook County","Cook Elementary School","0104","E","69.7","51.7","74.3","86.7","75.7","69.7","","","","","","","","","","",""
"2020","SCHOOL","6370104","Coastal Plains RESA","637","Cook County","Cook Elementary School","0104","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6370104","Coastal Plains RESA","637","Cook County","Cook Elementary School","0104","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6370104","Coastal Plains RESA","637","Cook County","Cook Elementary School","0104","E","","50.5","100.00+","","66.7","","","","","","","","","","","",""
"2023","SCHOOL","6370104","Coastal Plains RESA","637","Cook County","Cook Elementary School","0104","E","70.7","53.1","73.2","86.4","81.1","70.7","","","","","","","","","","",""
"2024","SCHOOL","6370104","Coastal Plains RESA","637","Cook County","Cook Elementary School","0104","E","77.1","60.2","77.8","100","83.8","77.1","","","","","","","","","","",""
"2025","SCHOOL","6370104","Coastal Plains RESA","637","Cook County","Cook Elementary School","0104","E","65.1","58.5","69.4","40.9","85.8","65.1","","","","","","","","","","",""
"2018","SCHOOL","6370111","Coastal Plains RESA","637","Cook County","Cook High School","0111","H","67.3","","","","","","","","","","","54.7","76.9","44.2","67.1","88.7","67.3"
"2019","SCHOOL","6370111","Coastal Plains RESA","637","Cook County","Cook High School","0111","H","71.5","","","","","","","","","","","59.9","73.2","72.2","73.5","89.1","71.5"
"2020","SCHOOL","6370111","Coastal Plains RESA","637","Cook County","Cook High School","0111","H","","","","","","","","","","","","","","","","94.4",""
"2021","SCHOOL","6370111","Coastal Plains RESA","637","Cook County","Cook High School","0111","H","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6370111","Coastal Plains RESA","637","Cook County","Cook High School","0111","H","","","","","","","","","","","","65.2","45.5","","73.4","96.9",""
"2023","SCHOOL","6370111","Coastal Plains RESA","637","Cook County","Cook High School","0111","H","83.9","","","","","","","","","","","68.2","96.7","79.2","77.9","98.5","83.9"
"2024","SCHOOL","6370111","Coastal Plains RESA","637","Cook County","Cook High School","0111","H","81.8","","","","","","","","","","","69.7","91.4","66.7","79.7","98.9","81.8"
"2025","SCHOOL","6370111","Coastal Plains RESA","637","Cook County","Cook High School","0111","H","72.5","","","","","","","","","","","67.5","76.2","26","79.9","98.8","72.5"
"2018","SCHOOL","6370196","Coastal Plains RESA","637","Cook County","Cook Primary School","0196","E","50.5","46.1","84.5","28.6","70.9","50.5","","","","","","","","","","",""
"2019","SCHOOL","6370196","Coastal Plains RESA","637","Cook County","Cook Primary School","0196","E","76.5","61","100","100","74.7","76.5","","","","","","","","","","",""
"2020","SCHOOL","6370196","Coastal Plains RESA","637","Cook County","Cook Primary School","0196","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6370196","Coastal Plains RESA","637","Cook County","Cook Primary School","0196","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6370196","Coastal Plains RESA","637","Cook County","Cook Primary School","0196","E","","52.6","100.00+","","64","","","","","","","","","","","",""
"2023","SCHOOL","6370196","Coastal Plains RESA","637","Cook County","Cook Primary School","0196","E","72.8","63.9","100","75","79.6","72.8","","","","","","","","","","",""
"2024","SCHOOL","6370196","Coastal Plains RESA","637","Cook County","Cook Primary School","0196","E","63.0","58.5","100","41.7","82.7","63.0","","","","","","","","","","",""
"2025","SCHOOL","6370196","Coastal Plains RESA","637","Cook County","Cook Primary School","0196","E","61.3","59.3","98.5","29.2","86.6","61.3","","","","","","","","","","",""
"2018","DISTRICT","638","West Georgia RESA","638","Coweta County","Coweta County","638","EMH","84.8","70.9","87.2","75","83.3","79.7","73","91.8","93.4","84.7","85.0","73.3","87","92.1","77.8","85.8","81.8"
"2019","DISTRICT","638","West Georgia RESA","638","Coweta County","Coweta County","638","EMH","84.8","77","89.6","100","84.3","86.3","77","91.5","79.2","85.6","84.1","78.5","87.2","88.2","77.2","87","83.2"
"2020","DISTRICT","638","West Georgia RESA","638","Coweta County","Coweta County","638","EMH","","","","","","","","","","","","","","","","",""
"2021","DISTRICT","638","West Georgia RESA","638","Coweta County","Coweta County","638","EMH","","","","","","","","","","","","","","","","",""
"2022","DISTRICT","638","West Georgia RESA","638","Coweta County","Coweta County","638","EMH","","73.2","100.00+","","77.9","","66.6","47.4","","77.8","","73.2","76.1","","73.4","90.5",""
"2023","DISTRICT","638","West Georgia RESA","638","Coweta County","Coweta County","638","EMH","75.7","73.4","84.8","57.4","85.4","77.4","65.6","78.6","33.3","83.2","68.8","72","92.3","44.4","73.2","91.7","78.5"
"2024","DISTRICT","638","West Georgia RESA","638","Coweta County","Coweta County","638","EMH","78.7","75.4","81.8","63.9","86.4","78.1","66.5","75.9","51.8","83.9","71.1","76.2","97.5","75.9","74.9","91.9","84.8"
"2025","DISTRICT","638","West Georgia RESA","638","Coweta County","Coweta County","638","EMH","76.2","74.1","82.3","51.9","87.1","77.7","71.3","79.7","97.4","85.1","77.7","75","87.2","33.3","77","92.4","77.7"
"2018","SCHOOL","6380101","West Georgia RESA","638","Coweta County","Arbor Springs Elementary School","0101","E","80.7","82","81.4","67.9","86.9","80.7","","","","","","","","","","",""
"2019","SCHOOL","6380101","West Georgia RESA","638","Coweta County","Arbor Springs Elementary School","0101","E","92.1","88.2","95.1","96.9","89.2","92.1","","","","","","","","","","",""
"2020","SCHOOL","6380101","West Georgia RESA","638","Coweta County","Arbor Springs Elementary","0101","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380101","West Georgia RESA","638","Coweta County","Arbor Springs Elementary","0101","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380101","West Georgia RESA","638","Coweta County","Arbor Springs Elementary","0101","E","","73.4","TFS","","76.9","","","","","","","","","","","",""
"2023","SCHOOL","6380101","West Georgia RESA","638","Coweta County","Arbor Springs Elementary","0101","E","91.6","81.8","97.8","100","89.6","91.6","","","","","","","","","","",""
"2024","SCHOOL","6380101","West Georgia RESA","638","Coweta County","Arbor Springs Elementary","0101","E","96.8","95.5","100","100","90.4","96.8","","","","","","","","","","",""
"2025","SCHOOL","6380101","West Georgia RESA","638","Coweta County","Arbor Springs Elementary","0101","E","97.2","97.6","100","96.4","92.4","97.2","","","","","","","","","","",""
"2018","SCHOOL","6380103","West Georgia RESA","638","Coweta County","Willis Road Elementary School","0103","E","78.6","78.2","82.3","60","86.9","78.6","","","","","","","","","","",""
"2019","SCHOOL","6380103","West Georgia RESA","638","Coweta County","Willis Road Elementary School","0103","E","87.2","85.7","83.2","100","86.6","87.2","","","","","","","","","","",""
"2020","SCHOOL","6380103","West Georgia RESA","638","Coweta County","Willis Road Elementary","0103","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380103","West Georgia RESA","638","Coweta County","Willis Road Elementary","0103","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380103","West Georgia RESA","638","Coweta County","Willis Road Elementary","0103","E","","74.5","95.3","","80.1","","","","","","","","","","","",""
"2023","SCHOOL","6380103","West Georgia RESA","638","Coweta County","Willis Road Elementary","0103","E","78.4","74","81.4","71.1","84.9","78.4","","","","","","","","","","",""
"2024","SCHOOL","6380103","West Georgia RESA","638","Coweta County","Willis Road Elementary","0103","E","79.1","78.9","81","62.5","88.1","79.1","","","","","","","","","","",""
"2025","SCHOOL","6380103","West Georgia RESA","638","Coweta County","Willis Road Elementary","0103","E","72.4","76.1","78.5","29","88.8","72.4","","","","","","","","","","",""
"2018","SCHOOL","6380106","West Georgia RESA","638","Coweta County","Lee Middle School","0106","M","83.6","","","","","","77","94.2","68.8","86.2","83.6","","","","","",""
"2019","SCHOOL","6380106","West Georgia RESA","638","Coweta County","Lee Middle School","0106","M","91.7","","","","","","83.1","99.1","96.9","87.9","91.7","","","","","",""
"2020","SCHOOL","6380106","West Georgia RESA","638","Coweta County","Lee Middle School","0106","M","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380106","West Georgia RESA","638","Coweta County","Lee Middle School","0106","M","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380106","West Georgia RESA","638","Coweta County","Lee Middle School","0106","M","","","","","","","71.2","TFS","","80.9","","","","","","",""
"2023","SCHOOL","6380106","West Georgia RESA","638","Coweta County","Lee Middle School","0106","M","76.2","","","","","","71.2","85.4","53.1","84.7","76.2","","","","","",""
"2024","SCHOOL","6380106","West Georgia RESA","638","Coweta County","Lee Middle School","0106","M","78.5","","","","","","73.2","82.2","71.4","85.2","78.5","","","","","",""
"2025","SCHOOL","6380106","West Georgia RESA","638","Coweta County","Lee Middle School","0106","M","68.6","","","","","","70","76.3","25","85.6","68.6","","","","","",""
"2018","SCHOOL","6380115","West Georgia RESA","638","Coweta County","Brooks Elementary School","0115","E","90.7","95.2","92.3","81.8","87.7","90.7","","","","","","","","","","",""
"2019","SCHOOL","6380115","West Georgia RESA","638","Coweta County","Brooks Elementary School","0115","E","95.1","98.1","94.1","100","88.7","95.1","","","","","","","","","","",""
"2020","SCHOOL","6380115","West Georgia RESA","638","Coweta County","Brooks Elementary","0115","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380115","West Georgia RESA","638","Coweta County","Brooks Elementary","0115","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380115","West Georgia RESA","638","Coweta County","Brooks Elementary","0115","E","","96","100.00+","","87.7","","","","","","","","","","","",""
"2023","SCHOOL","6380115","West Georgia RESA","638","Coweta County","Brooks Elementary","0115","E","83.9","93.1","88.1","47.1","90.6","83.9","","","","","","","","","","",""
"2024","SCHOOL","6380115","West Georgia RESA","638","Coweta County","Brooks Elementary","0115","E","89.0","93.1","87.6","80","91.9","89.0","","","","","","","","","","",""
"2025","SCHOOL","6380115","West Georgia RESA","638","Coweta County","Brooks Elementary","0115","E","83.4","92.3","85.3","50","91.9","83.4","","","","","","","","","","",""
"2018","SCHOOL","6380189","West Georgia RESA","638","Coweta County","White Oak Elementary School","0189","E","73.3","70.2","82.2","45.5","83.4","73.3","","","","","","","","","","",""
"2019","SCHOOL","6380189","West Georgia RESA","638","Coweta County","White Oak Elementary School","0189","E","80.8","75.4","85.7","77.3","82.8","80.8","","","","","","","","","","",""
"2020","SCHOOL","6380189","West Georgia RESA","638","Coweta County","White Oak Elementary School","0189","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380189","West Georgia RESA","638","Coweta County","White Oak Elementary School","0189","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380189","West Georgia RESA","638","Coweta County","White Oak Elementary School","0189","E","","75.1","100.00+","","80","","","","","","","","","","","",""
"2023","SCHOOL","6380189","West Georgia RESA","638","Coweta County","White Oak Elementary School","0189","E","69.8","70.8","73.2","38.9","85.8","69.8","","","","","","","","","","",""
"2024","SCHOOL","6380189","West Georgia RESA","638","Coweta County","White Oak Elementary School","0189","E","73.4","71.6","78.9","50","83.8","73.4","","","","","","","","","","",""
"2025","SCHOOL","6380189","West Georgia RESA","638","Coweta County","White Oak Elementary School","0189","E","60.2","65","65","7.1","84.2","60.2","","","","","","","","","","",""
"2018","SCHOOL","6380191","West Georgia RESA","638","Coweta County","Canongate Elementary School","0191","E","78.3","88","82.6","34.4","89","78.3","","","","","","","","","","",""
"2019","SCHOOL","6380191","West Georgia RESA","638","Coweta County","Canongate Elementary School","0191","E","93.8","96.4","93.2","93.8","90.9","93.8","","","","","","","","","","",""
"2020","SCHOOL","6380191","West Georgia RESA","638","Coweta County","Canongate Elementary School","0191","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380191","West Georgia RESA","638","Coweta County","Canongate Elementary School","0191","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380191","West Georgia RESA","638","Coweta County","Canongate Elementary School","0191","E","","87.8","100.00+","","84.3","","","","","","","","","","","",""
"2023","SCHOOL","6380191","West Georgia RESA","638","Coweta County","Canongate Elementary School","0191","E","88.5","89.6","91.1","77.8","90","88.5","","","","","","","","","","",""
"2024","SCHOOL","6380191","West Georgia RESA","638","Coweta County","Canongate Elementary School","0191","E","94.9","96.1","94","100","91.2","94.9","","","","","","","","","","",""
"2025","SCHOOL","6380191","West Georgia RESA","638","Coweta County","Canongate Elementary School","0191","E","75.3","86.4","77","26.5","92.4","75.3","","","","","","","","","","",""
"2018","SCHOOL","6380192","West Georgia RESA","638","Coweta County","Newnan Crossing Elementary School","0192","E","84.3","73.8","97.5","73.1","85.5","84.3","","","","","","","","","","",""
"2019","SCHOOL","6380192","West Georgia RESA","638","Coweta County","Newnan Crossing Elementary School","0192","E","90.3","86.1","91.3","100","87.5","90.3","","","","","","","","","","",""
"2020","SCHOOL","6380192","West Georgia RESA","638","Coweta County","Newnan Crossing Elementary School","0192","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380192","West Georgia RESA","638","Coweta County","Newnan Crossing Elementary School","0192","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380192","West Georgia RESA","638","Coweta County","Newnan Crossing Elementary School","0192","E","","72.1","100.00+","","77.4","","","","","","","","","","","",""
"2023","SCHOOL","6380192","West Georgia RESA","638","Coweta County","Newnan Crossing Elementary School","0192","E","79.6","70.4","87.3","71.7","85.4","79.6","","","","","","","","","","",""
"2024","SCHOOL","6380192","West Georgia RESA","638","Coweta County","Newnan Crossing Elementary School","0192","E","69.5","68.1","77.5","33.3","85.2","69.5","","","","","","","","","","",""
"2025","SCHOOL","6380192","West Georgia RESA","638","Coweta County","Newnan Crossing Elementary School","0192","E","76.7","68.3","86.3","57.7","86.5","76.7","","","","","","","","","","",""
"2018","SCHOOL","6380195","West Georgia RESA","638","Coweta County","Jefferson Parkway Elementary School","0195","E","72.3","54.2","87.1","65.9","78.3","72.3","","","","","","","","","","",""
"2019","SCHOOL","6380195","West Georgia RESA","638","Coweta County","Jefferson Parkway Elementary School","0195","E","77.8","61.5","82.9","95.8","79.7","77.8","","","","","","","","","","",""
"2020","SCHOOL","6380195","West Georgia RESA","638","Coweta County","Jefferson Parkway Elementary School","0195","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380195","West Georgia RESA","638","Coweta County","Jefferson Parkway Elementary School","0195","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380195","West Georgia RESA","638","Coweta County","Jefferson Parkway Elementary School","0195","E","","49.9","91.9","","68.6","","","","","","","","","","","",""
"2023","SCHOOL","6380195","West Georgia RESA","638","Coweta County","Jefferson Parkway Elementary School","0195","E","67.5","47.2","86.3","50","78.1","67.5","","","","","","","","","","",""
"2024","SCHOOL","6380195","West Georgia RESA","638","Coweta County","Jefferson Parkway Elementary School","0195","E","62.5","46.3","66","63.6","79.8","62.5","","","","","","","","","","",""
"2025","SCHOOL","6380195","West Georgia RESA","638","Coweta County","Jefferson Parkway Elementary School","0195","E","60.3","45.4","74","30.6","81","60.3","","","","","","","","","","",""
"2018","SCHOOL","6380196","West Georgia RESA","638","Coweta County","Northgate High School","0196","H","83.5","","","","","","","","","","","81.2","82.7","82.8","83.4","90","83.5"
"2019","SCHOOL","6380196","West Georgia RESA","638","Coweta County","Northgate High School","0196","H","88.2","","","","","","","","","","","87.6","87.1","100","82.2","89.7","88.2"
"2020","SCHOOL","6380196","West Georgia RESA","638","Coweta County","Northgate High School","0196","H","","","","","","","","","","","","","","","","93.3",""
"2021","SCHOOL","6380196","West Georgia RESA","638","Coweta County","Northgate High School","0196","H","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380196","West Georgia RESA","638","Coweta County","Northgate High School","0196","H","","","","","","","","","","","","84.7","TFS","","83.5","91.4",""
"2023","SCHOOL","6380196","West Georgia RESA","638","Coweta County","Northgate High School","0196","H","85.2","","","","","","","","","","","82","100","42.9","81.1","93.8","85.2"
"2024","SCHOOL","6380196","West Georgia RESA","638","Coweta County","Northgate High School","0196","H","88.6","","","","","","","","","","","84.7","98.7","73.8","80.8","94","88.6"
"2025","SCHOOL","6380196","West Georgia RESA","638","Coweta County","Northgate High School","0196","H","83.1","","","","","","","","","","","85.1","87.9","50","80.9","94","83.1"
"2018","SCHOOL","6380199","West Georgia RESA","638","Coweta County","Poplar Road Elementary School","0199","E","59.2","56.1","60","36.1","79.7","59.2","","","","","","","","","","",""
"2019","SCHOOL","6380199","West Georgia RESA","638","Coweta County","Poplar Road Elementary School","0199","E","70.3","61.3","70.9","75","79.1","70.3","","","","","","","","","","",""
"2020","SCHOOL","6380199","West Georgia RESA","638","Coweta County","Poplar Road Elementary School","0199","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380199","West Georgia RESA","638","Coweta County","Poplar Road Elementary School","0199","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380199","West Georgia RESA","638","Coweta County","Poplar Road Elementary School","0199","E","","68.3","TFS","","75.6","","","","","","","","","","","",""
"2023","SCHOOL","6380199","West Georgia RESA","638","Coweta County","Poplar Road Elementary School","0199","E","76.8","72.3","67.6","96.2","84.8","76.8","","","","","","","","","","",""
"2024","SCHOOL","6380199","West Georgia RESA","638","Coweta County","Poplar Road Elementary School","0199","E","58.6","63.5","60.3","11.1","83.4","58.6","","","","","","","","","","",""
"2025","SCHOOL","6380199","West Georgia RESA","638","Coweta County","Poplar Road Elementary School","0199","E","67.2","63.3","68","52.8","82.5","67.2","","","","","","","","","","",""
"2018","SCHOOL","6380201","West Georgia RESA","638","Coweta County","Welch Elementary School","0201","E","67.7","60.5","73.1","52.1","80.9","67.7","","","","","","","","","","",""
"2019","SCHOOL","6380201","West Georgia RESA","638","Coweta County","Welch Elementary School","0201","E","76.2","63.9","87.6","68.8","80.3","76.2","","","","","","","","","","",""
"2020","SCHOOL","6380201","West Georgia RESA","638","Coweta County","Welch Elementary School","0201","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380201","West Georgia RESA","638","Coweta County","Welch Elementary School","0201","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380201","West Georgia RESA","638","Coweta County","Welch Elementary School","0201","E","","63.2","98.8","","74.7","","","","","","","","","","","",""
"2023","SCHOOL","6380201","West Georgia RESA","638","Coweta County","Welch Elementary School","0201","E","80.0","69.1","86.1","85","82.1","80.0","","","","","","","","","","",""
"2024","SCHOOL","6380201","West Georgia RESA","638","Coweta County","Welch Elementary School","0201","E","69.2","65.1","76.6","41.7","83.1","69.2","","","","","","","","","","",""
"2025","SCHOOL","6380201","West Georgia RESA","638","Coweta County","Welch Elementary School","0201","E","80.9","67.9","93.2","72.7","84.8","80.9","","","","","","","","","","",""
"2018","SCHOOL","6380203","West Georgia RESA","638","Coweta County","Glanton Elementary School","0203","E","53.3","44.5","64","18.8","73.4","53.3","","","","","","","","","","",""
"2019","SCHOOL","6380203","West Georgia RESA","638","Coweta County","Glanton Elementary School","0203","E","78.3","60.1","83.8","100","79.9","78.3","","","","","","","","","","",""
"2020","SCHOOL","6380203","West Georgia RESA","638","Coweta County","Glanton Elementary","0203","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380203","West Georgia RESA","638","Coweta County","Glanton Elementary","0203","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380203","West Georgia RESA","638","Coweta County","Glanton Elementary","0203","E","","50.1","TFS","","68","","","","","","","","","","","",""
"2023","SCHOOL","6380203","West Georgia RESA","638","Coweta County","Glanton Elementary","0203","E","52.3","42.9","65.4","10","75","52.3","","","","","","","","","","",""
"2024","SCHOOL","6380203","West Georgia RESA","638","Coweta County","Glanton Elementary","0203","E","75.6","50.6","84.6","100","78.8","75.6","","","","","","","","","","",""
"2025","SCHOOL","6380203","West Georgia RESA","638","Coweta County","Glanton Elementary","0203","E","82.2","63.1","91.1","100","82.1","82.2","","","","","","","","","","",""
"2018","SCHOOL","6380289","West Georgia RESA","638","Coweta County","East Coweta Middle School","0289","M","71.1","","","","","","67.3","87.9","25","82.2","71.1","","","","","",""
"2019","SCHOOL","6380289","West Georgia RESA","638","Coweta County","East Coweta Middle School","0289","M","79.8","","","","","","72.1","89.8","67.3","83.3","79.8","","","","","",""
"2020","SCHOOL","6380289","West Georgia RESA","638","Coweta County","East Coweta Middle School","0289","M","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380289","West Georgia RESA","638","Coweta County","East Coweta Middle School","0289","M","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380289","West Georgia RESA","638","Coweta County","East Coweta Middle School","0289","M","","","","","","","59.9","TFS","","76","","","","","","",""
"2023","SCHOOL","6380289","West Georgia RESA","638","Coweta County","East Coweta Middle School","0289","M","76.6","","","","","","64","86.9","71.4","81.5","76.6","","","","","",""
"2024","SCHOOL","6380289","West Georgia RESA","638","Coweta County","East Coweta Middle School","0289","M","60.6","","","","","","57.9","63.2","32.5","80.9","60.6","","","","","",""
"2025","SCHOOL","6380289","West Georgia RESA","638","Coweta County","East Coweta Middle School","0289","M","77.8","","","","","","66.1","78.8","91.1","83.5","77.8","","","","","",""
"2018","SCHOOL","6380295","West Georgia RESA","638","Coweta County","Thomas Crossroads Elementary School","0295","E","85.4","79","92.6","79.2","86.9","85.4","","","","","","","","","","",""
"2019","SCHOOL","6380295","West Georgia RESA","638","Coweta County","Thomas Crossroads Elementary School","0295","E","83.1","82","93","58.3","86","83.1","","","","","","","","","","",""
"2020","SCHOOL","6380295","West Georgia RESA","638","Coweta County","Thomas Crossroads Elementary School","0295","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","6380295","West Georgia RESA","638","Coweta County","Thomas Crossroads Elementary School","0295","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","6380295","West Georgia RESA","638","Coweta County","Thomas Crossroads Elementary School","0295","E","","85","TFS","","84.8","","","","","","","","","","","",""
"2023","SCHOOL","6380295","West Georgia RESA","638","Coweta County","Thomas Crossroads Elementary School","0295","E","73.6","81.8","77.9","25","89.8","73.6","","","","","","","","","","",""
"2024","SCHOOL","6380295","West Georgia RESA","638","Coweta County","Thomas Crossroads Elementary School","0295","E","87.9","90.2","78.8","100","91.2","87.9","","","","","","","","","","",""
"2025","SCHOOL","6380295","West Georgia RESA","638","Coweta County","Thomas Crossroads Elementary School","0295","E","84.3","87.2","90","54.6","92.1","84.3","","","","","","","","","","",""
"2018","SCHOOL","6380299","West Georgia RESA","638","Coweta County","Madras Middle School","0299","M","87.2","","","","","","88","93.9","66.7","89.4","87.2","","","","","",""
"2019","SCHOOL","6380299","West Georgia RESA","638","Coweta County","Madras Middle School","0299","M","87.1","","","","","","91.2","93","61.7","89.9","87.1","","","","","",""
